hour_of_day,avg_temp
0,23.279787234042544
1,25.45628571428572
2,24.16234042553191
3,25.793947368421048
4,24.005348837209304
5,24.920238095238098
6,24.23432432432433
7,25.333095238095243
8,25.832222222222217
9,21.551388888888887
10,25.68564102564102
11,26.126470588235296
12,24.126222222222218
13,25.449047619047615
14,22.680454545454545
15,25.164444444444438
16,25.592222222222226
17,26.087999999999997
18,26.009090909090904
19,25.872121212121208
20,24.235714285714284
21,23.948648648648643
22,24.966511627906982
23,26.186388888888885
